titulo,id,status,datetime,quantidade_ocorrencia
Animal na via,98912,FECHADO,2023-07-05 21:30:16,4
Queda MT,98913,FECHADO,2023-07-05 21:30:19,2
AC VP x MT,98914,FECHADO,2023-07-05 21:30:21,2
AC VP x MT,98915,FECHADO,2023-07-05 21:30:23,2
AC VP x MT,98918,FECHADO,2023-07-05 21:30:32,2
AC 2 VPs,98919,FECHADO,2023-07-05 21:30:34,2
AC VP x MT,98921,FECHADO,2023-07-05 21:30:38,1
AC TX x 2 VPs,98923,FECHADO,2023-07-05 21:30:40,2
AC envol. CR,98924,FECHADO,2023-07-05 21:30:42,2
AC ON x VP,98925,FECHADO,2023-07-05 21:30:52,2
Enguiço VP,98926,FECHADO,2023-07-05 21:30:53,2
Manifestação,98927,FECHADO,2023-07-05 21:30:55,1
AC UT x VP,98930,FECHADO,2023-07-05 21:30:57,2
Enguiço UT,98928,FECHADO,2023-07-05 21:30:59,2
Enguiço ON,98929,FECHADO,2023-07-05 21:31:00,2
AC UT x 3 VPs,98931,FECHADO,2023-07-05 21:31:05,2
Enguiço VP,98932,FECHADO,2023-07-05 21:31:07,2
Enguiço ON,98933,FECHADO,2023-07-05 21:31:09,2
Queda MT,98935,FECHADO,2023-07-05 21:31:14,2
Queda MT,98936,FECHADO,2023-07-05 21:31:16,2
