titulo,id,status,datetime,quantidade_ocorrencia
Vazamento de esgoto (Águas do Rio),98825,FECHADO,2023-07-05 21:27:48,1
AC TX x MT,98826,FECHADO,2023-07-05 21:27:49,1
Evento - Sistema de Avaliação da Educação Básica (SAEB) - SME,98829,FECHADO,2023-07-05 21:27:52,1
Queda MT,98830,FECHADO,2023-07-05 21:27:53,2
Enguiço VP,98831,FECHADO,2023-07-05 21:27:54,2
Enguiço VP,98832,FECHADO,2023-07-05 21:27:55,2
AC VP x MT,98835,FECHADO,2023-07-05 21:27:56,2
Óleo na via,98834,FECHADO,2023-07-05 21:27:58,1
Queda MT,98837,FECHADO,2023-07-05 21:28:01,2
AC VP x MT,98838,FECHADO,2023-07-05 21:28:02,2
AC VP x MT,98840,FECHADO,2023-07-05 21:28:05,2
Enguiço ON,98842,FECHADO,2023-07-05 21:28:09,2
Enguiço ON,98843,FECHADO,2023-07-05 21:28:11,2
AC ON x MT,98844,FECHADO,2023-07-05 21:28:13,2
AC VP x MT,98845,FECHADO,2023-07-05 21:28:15,2
Queda MT,98846,FECHADO,2023-07-05 21:28:16,2
AC ON x VP,98847,FECHADO,2023-07-05 21:28:18,2
AC 2 VPs,98848,FECHADO,2023-07-05 21:28:20,2
Enguiço ON,98849,FECHADO,2023-07-05 21:28:22,2
AC VP x MT,98850,FECHADO,2023-07-05 21:28:24,2
Enguiço VP,98851,FECHADO,2023-07-05 21:28:26,2
AC ON x VP,98852,FECHADO,2023-07-05 21:28:27,2
Enguiço VP,98853,FECHADO,2023-07-05 21:28:29,2
Enguiço UT,98854,FECHADO,2023-07-05 21:28:31,2
Enguiço VP,98856,FECHADO,2023-07-05 21:28:34,2
AC VP x MT,98858,FECHADO,2023-07-05 21:28:38,2
Enguiço VP,98859,FECHADO,2023-07-05 21:28:39,2
Engiço CM,98860,FECHADO,2023-07-05 21:28:41,2
AC VP x MT,98861,FECHADO,2023-07-05 21:28:43,2
AC 2 VPs,98862,FECHADO,2023-07-05 21:28:45,2
Enguiço CM,98865,FECHADO,2023-07-05 21:28:47,2
AC VP x MT,98864,FECHADO,2023-07-05 21:28:49,2
Incêndio em Imóvel,98863,FECHADO,2023-07-05 21:28:50,1
AC 2 VPs,98866,FECHADO,2023-07-05 21:28:53,2
Enguiço CM,98867,FECHADO,2023-07-05 21:28:54,2
Enguiço UT,98868,FECHADO,2023-07-05 21:28:56,2
Enguiço ON,98869,FECHADO,2023-07-05 21:28:58,2
Enguiço CM,98870,FECHADO,2023-07-05 21:29:00,2
Atropelamento envolv. MT,98871,FECHADO,2023-07-05 21:29:01,1
Enguiço VP,98874,FECHADO,2023-07-05 21:29:10,2
AC UT x VP,98875,FECHADO,2023-07-05 21:29:12,2
Enguiço CM,98876,FECHADO,2023-07-05 21:29:13,2
AC TX x 4 VPs,98877,FECHADO,2023-07-05 21:29:15,2
Enguiço UT,98879,FECHADO,2023-07-05 21:29:19,2
Enguiço CM,98880,FECHADO,2023-07-05 21:29:21,2
Enguiço ON,98881,FECHADO,2023-07-05 21:29:22,2
Enguiço VP,98882,FECHADO,2023-07-05 21:29:24,2
Enguiço CM,98883,FECHADO,2023-07-05 21:29:26,2
Enguiço ON,98885,FECHADO,2023-07-05 21:29:29,2
Enguiço ON,98886,FECHADO,2023-07-05 21:29:31,2
Enguiço ON,98887,FECHADO,2023-07-05 21:29:32,2
Incêndio em ON,98889,FECHADO,2023-07-05 21:29:36,2
AC VP x Mureta,98890,FECHADO,2023-07-05 21:29:38,2
Obra na via (SECONSERVA),98895,FECHADO,2023-07-05 21:29:48,1
Asfalto Liso ( SECONSERVA ),98896,FECHADO,2023-07-05 21:29:49,2
AC envolvendo CR,98899,FECHADO,2023-07-05 21:29:51,2
Obra na via ( TRANSBRASIL ),98897,FECHADO,2023-07-05 21:29:53,1
Obra na via ( Transbrasil ),98898,FECHADO,2023-07-05 21:29:55,2
AC CM x Mureta seguido Tombamento,98901,FECHADO,2023-07-05 21:29:58,2
Obra na via ( CET RIO ),98902,FECHADO,2023-07-05 21:30:00,2
Enguiço CM,98904,FECHADO,2023-07-05 21:30:01,2
AC 3 VPs,98905,FECHADO,2023-07-05 21:30:03,2
AC 2 VPs,98906,FECHADO,2023-07-05 21:30:05,2
AC VP x MT,98908,FECHADO,2023-07-05 21:30:07,2
AC CM x TX,98907,FECHADO,2023-07-05 21:30:09,2
AC 2 MTs,98910,FECHADO,2023-07-05 21:30:12,2
AC ON x MT,98911,FECHADO,2023-07-05 21:30:14,1
